year,month,day,hour,minute,flight,origin,dest,distance
2013,8,5,14,6,3816,EWR,CVG,569
2013,12,26,7,5,331,LGA,ORD,733
2013,12,15,18,30,438,JFK,SAN,2446
2013,1,11,14,35,3750,LGA,IAD,229
2013,11,11,14,29,301,JFK,FLL,1069
2013,7,23,12,0,3572,LGA,CLE,419
2013,2,1,17,58,1172,EWR,ORD,719
2013,7,9,7,15,399,JFK,LAX,2475
2013,8,25,18,40,4131,EWR,RIC,277
2013,10,20,17,30,5298,LGA,OMA,1148
2013,9,6,21,40,3660,LGA,BNA,764
2013,12,20,11,40,388,LGA,MIA,1096
2013,4,18,14,55,759,LGA,DFW,1389
2013,7,1,6,30,1402,JFK,LAX,2475
2013,8,21,7,10,3547,LGA,XNA,1147
